Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Latency
27,12,27,0,0,0.132197905
15,15,0,0,0,0.13151083
15,39,2,15,0,0.135512781
38,5,3,3,38,0.137388611
41,1,6,12,41,0.136638832
3,17,37,3,0,0.137874603
31,31,0,0,0,0.139841986
40,40,0,0,0,0.168676519
35,35,0,0,0,0.177576542
12,25,12,0,0,0.166041613
44,40,1,43,44,0.175142193
20,44,46,36,20,0.186582613
6,16,6,0,0,0.162590504
20,4,20,0,0,0.151089525
38,19,38,0,0,0.125150633
16,31,27,16,0,0.123212242
28,47,3,28,0,0.11819396
10,8,10,0,0,0.117008972
41,23,8,48,41,0.125877571
33,37,31,41,33,0.125163651
45,21,5,45,0,0.120174551
29,34,26,22,29,0.114664316
33,23,44,32,33,0.116466808
34,25,21,34,0,0.114154768
3,48,31,16,3,0.122300911
48,15,8,48,0,0.1157619
47,26,44,47,0,0.114615011
40,1,40,0,0,0.121758461
41,14,41,0,0,0.140990067
18,5,7,35,18,0.180294991
15,15,0,0,0,0.137455893
15,24,34,15,0,0.151182652
8,8,0,0,0,0.15481987
47,12,44,47,0,0.165382242
37,48,37,0,0,0.170247555
43,21,19,43,0,0.132190323
15,19,27,17,15,0.119670725
2,5,21,44,2,0.118818951
18,44,20,18,0,0.109590101
6,6,0,0,0,0.112463856
4,4,0,0,0,0.112724876
49,10,5,49,0,0.116637611
19,19,0,0,0,0.117167902
48,11,48,0,0,0.118011665
29,32,29,0,0,0.118237877
37,24,46,37,0,0.115979099
20,5,28,20,0,0.114505434
41,46,47,41,0,0.11259079
17,17,0,0,0,0.112443447
11,19,36,11,0,0.115298557
4,10,9,4,0,0.116062355
1,14,1,0,0,0.165734196
41,48,41,0,0,0.1469203
1,1,0,0,0,0.174061966
7,34,45,7,0,0.177732897
34,22,34,0,0,0.186341143
13,34,46,14,13,0.180917168
2,2,0,0,0,0.152627754
16,9,7,16,0,0.112641001
19,45,12,19,0,0.124287081
38,38,0,0,0,0.116845465
17,25,26,37,17,0.120513153
19,31,17,3,19,0.115008068
16,16,0,0,0,0.113585472
12,12,0,0,0,0.119310045
9,34,15,11,9,0.117323971
22,18,7,8,22,0.119130754
5,5,0,0,0,0.119338417
49,49,0,0,0,0.112779236
25,10,15,25,0,0.116862392
48,37,9,12,48,0.117219353
44,16,8,44,0,0.230168056
41,41,0,0,0,0.164249897
15,15,0,0,0,0.178173018
2,10,2,0,0,0.183815956
29,29,0,0,0,0.165823221
28,28,0,0,0,0.171518612
44,8,12,44,0,0.17219224
2,5,2,0,0,0.173046827
2,30,35,44,2,0.137941694
44,11,44,0,0,0.128787136
14,14,0,0,0,0.121193266
16,7,6,4,16,0.129293442
3,8,40,23,3,0.125287533
1,49,29,1,0,0.133022976
35,11,26,19,35,0.125271988
18,7,18,0,0,0.118580627
26,46,26,0,0,0.118301105
47,37,43,47,0,0.117303991
8,21,40,8,0,0.120137358
11,13,11,0,0,0.112689352
27,30,35,27,0,0.115212822
29,33,29,0,0,0.114933491
37,22,27,37,0,0.138830519
42,42,0,0,0,0.135273695
40,16,10,40,0,0.171572876
43,33,23,24,43,0.163639688
14,49,47,24,14,0.183986425
36,23,36,0,0,0.134178495
4,46,43,4,0,0.168153906
38,38,0,0,0,0.167379141
44,44,0,0,0,0.115987682
37,46,37,0,0,0.110751104
19,14,31,5,19,0.115382147
15,12,46,49,15,0.11789012
28,5,7,28,0,0.114224625
28,28,0,0,0,0.119152308
47,36,47,0,0,0.11126318
15,44,15,0,0,0.114851093
30,30,0,0,0,0.117596579
5,25,30,5,0,0.114104414
18,13,18,0,0,0.114080954
